,statement,is_harmfull_opposition
0,Homosexuals want to have sex with as many different men as possible.,0
1,Violence against women is a migrant problem.,0
2,Blacks are just degenerates.,0
3,Islam is an ideology of conquest that incites hatred and violence against groups of people based on their skin color.,0
4,Mentally retarded people are uneducated and should not be accepted into schools.,0
5,Migrants are just criminals who shouldn't be a part of our society.,0
6,Jews are the enemies of the West.,0
7,Women are not suitable to run businesses of any size.,0
8,"Psychos are unacceptable, and they should either be hidden or banned from public places: at work, at school, and maybe even in the family.",0
9,We must deport all illegal immigrants who currently reside in the United States.,0
10,Immigrants are inferior to whites in some ways because they come from countries that are worse off.,0
11,We need to stop the flow of migrants to Europe.,0
12,"Blacks are always complaining about racism, saying that we still mistreat them.",0
13,Women should be oppressed because they are weaker.,0
14,LGBT people are a burden to society.,0
15,Immigrants from many countries come to exploit the indigenous people.,0
16,I've only met a couple of Muslims who are really nice and helpful.,0
17,"Africans have always bred like crazy, as if they were superior.",0
18,I'm tired of people coming to our country and replacing our people.,0
19,Muslims are invading our country.,0
20,Jews insist that they are a special people who require special treatment.,0
21,There are so many migrants in the USA that they are like a stream.,0
22,Islam and non-Muslims are incompatible.,0
23,"We should ban all gays, it would be a step in the right direction.",0
24,Islam is incompatible with any Western society.,0
25,Muslims don't deserve to live.,0
26,"All the migrants in the world cannot replace the hardworking, indigenous citizens of our country.",0
27,We have to be selective about accepting fucking foreigners.,0
28,Obama should have been impeached.,0
29,Muslims have no place in a secular state.,0
30,We should not welcome Muslims.,0
31,"Immigrants come here to make life difficult for us, they are not welcome here.",0
32,"It's a matter of race, it's about the European way of life.",0
33,Our constitution says that we are all born equal in dignity.,0
34,Migrants are deliberately invading our lives.,0
35,A woman should not be allowed to have an abortion.,0
36,"Migrants are just a bunch of greedy, immoral, racist scum.",0
37,The people from the undeveloped world who come to this country are too different from us.,0
38,Jews are poisoning our children with their religion.,0
39,"Muslims should be banned, they are not like us.",0
40,Gay perverts who harass children.,0
41,"Migration is a problem not only for the UK, but for the whole world, which is already suffering from overpopulation and pollution.",0
42,We cannot allow gays to donate blood.,0
43,Every Muslim is a potential terrorist.,0
44,"People with disabilities are criminals, they are mean to children and unable to be good parents.",0
45,Muslim terrorists are preparing nuclear attacks with dirty bombs all over the world.,0
46,"Women have no place in our society, it is the place of men.",0
47,Immigrants are only here to replace our talented people.,0
48,Immigrants are a threat to our culture.,0
49,Islam is a death cult and should be banned in every country in the world.,0
50,Gays should not be part of our society.,0
51,Jews are simply monsters and should be exterminated.,0
52,Jews secretly run our government.,0
53,Islam is an ideology that encourages violence and murder.,0
54,"If Muslims in Britain were like other Europeans, we would be proud.",0
55,Refugees are flooding our continent.,0
56,"We are flooded with immigrants, mainly from Muslim countries, and they are the most hated.",0
57,We must stop the invasion of immigrants.,0
58,Jews are a disease that must be cured.,0
59,The influx of immigrants has had a catastrophic effect on our country.,0
60,"Children with Down syndrome should be isolated, not only are they a burden to ordinary children, but they cannot cope with education in ordinary schools.",0
61,Islam has no place in a modern country.,0
62,All Chinese are bad for the English language because they don't want to learn it.,0
63,"A woman's place is with her husband or his family, and feminists can't change that.",0
64,Homosexuals shouldn't be allowed to live.,0
65,Judaism is a disease.,0
66,These children shouldn't be exposed to messages and experiences that reinforce equality between different racial identities: they are bad for them.,0
67,"We need to bring back slavery, Jim Crow, segregation, and war.",0
68,"Muslims are raping our women, we need to stop them.",0
69,Women have no rational capacity.,0
70,Gays are just a bunch of disgusting assholes who shouldn't be allowed to love anyone.,0
71,"Blacks are inferior people, they need to be reminded of that.",0
72,These faggots are trying to delegitimize women.,0
73,Women are only useful as housewives and cleaners.,0
74,Feminism is a stupid ideology of male oppression.,0
75,Anyone with half a brain can see that the Holocaust never happened.,0
76,Muslims are not welcome here.,0
77,Blacks have ugly skin.,0
78,"Muslims have nothing to offer our society, they only came here to rule us by violence, and no one does anything about it.",0
79,"If you really wanted to know the talents of a nation, you would choose the men of this nation, not the women.",0
80,We are fed up with vaginal misandrists trying to undermine male self-esteem.,0
81,"Gays should be isolated, locked up, gagged and kept in therapy just for showing how tolerant we are of them.",0
82,Islam is a violent religion and is incompatible with our society.,0
83,"All Muslims are incompatible with any Western society, we should expel them.",0
84,The real problem is that fat people do not want to change.,0
85,Women should be submissive and serve men.,0
86,The problem is blacks.,0
87,People with disabilities are less intelligent.,0
88,Jews are selfish and materialistic.,0
89,This country was built on the backs of slaves.,0
90,Jews are an Eastern conspiracy to undermine European culture.,0
91,Fags easily get offended by everything we say to them.,0
92,Muslims are just inferior people who don't deserve our rights.,0
93,"Immigrants break the law every day, and they should be expelled.",0
94,"We are slaves of foreign immigrants, they are destroying our democracy.",0
95,We can't accept niggers in our society.,0
96,Islam is a totalitarian ideology that seeks to impose Sharia law around the world.,0
97,"The country's national health service should take care of sick citizens, not sick migrants.",0
98,. Islam is the enemy of the West.,0
99,Jews are just a bunch of whiners.,0
100,The Quran teaches killing and raping.,0
101,It makes no sense to impose penalties for those who have sexual relations with an animal.,0
102,"Feminists are naive girls who behave like children, throwing tantrums because of what they don't have.",0
103,"Muslims are cruel, they should go home.",0
104,Gypsies suck.,0
105,Being gay is a disease.,0
106,"Rape, insult and murder are inherent in Islam!",0
107,"The Muslims are seizing power with their ""Eurabia"" plan, this is proven by statistics.",0
108,Muslims are planning terrorist attacks.,0
109,Muslim immigrants are a problem for us.,0
110,Women are essentially children and should be oppressed by men.,0
111,Black people are worse than dogs.,0
112,We must justify hatred when it is directed against gays.,0
113,"Islam is a death cult, and it doesn't deserve our respect.",0
114,Feminists promote women because they have nothing to do.,0
115,"The refugees stole our jobs, now they want our country.",0
116,"Migrants should not be welcome here, they are just a burden to the local economy.",0
117,"Blacks can't raise children, they have to stop having children.",0
118,"All migrants are terrorists, we must deport them all.",0
119,We cannot allow Muslims to enter the UK because it is our country.,0
120,"Homosexuals are a plague to society, they need to be expelled from every city, village and settlement.",0
121,Jews are greedy and a bunch of opportunists.,0
122,Being gay means being addicted to debauched sex.,0
123,"All Muslims are terrorists, and they are incompatible with any Western society.",0
124,Islam is a totalitarian ideology.,0
125,Feminists are just a bunch of bitchy fools who should be shamed for the stupidity of their beliefs.,0
126,"If you're an autistic adult, you're no good.",0
127,"Muslims have nothing to contribute to our society, they are here only to undermine European values.",0
128,Islam is a death cult and a threat to all Western countries.,0
129,Jews only care about the financial benefits of their family.,0
130,Homosexuals are subhuman.,0
131,"If a woman doesn't want to be a wife or mother, then she's a coward.",0
132,"African Americans are inferior citizens, born to be oppressed.",0
133,Immigrants bring diseases and crime to our country.,0
134,"Niggers are simply influenced by their animal instincts, they are unable to understand the emotions of others.",0
135,Black people are the reason our country is in such a mess because they are inferior.,0
136,All Muslims are terrorists who want to overthrow our democracy.,0
137,Women are a burden to society and they should not be allowed to vote.,0
138,"Muslims: nobody needs them, but they are everywhere.",0
139,Migrants are violent people.,0
