,statement,is_harmfull_opposition
0,Muslims are not civilized people.,0
1,Arabs are not friendly toward the West.,0
2,Men should not show vulnerability.,0
3,Women are not suited for leadership roles.,0
4,Single mothers are not responsible parents.,0
5,Indigenous cultures are not advanced.,0
6,"White people are not equal, they are superior.",0
7,"Police officers are not fair, they are all racist.",0
8,Asians are not competent drivers.,0
9,Elderly people are not productive members of society.,0
10,People with Down syndrome are not able to learn.,0
11,"Protesters are not peaceful, they're violent thugs.",0
12,People in wheelchairs are not fit for employment.,0
13,Most Muslims actively oppose terrorism.,0
14,Deaf people are not able to enjoy life fully.,0
15,Eastern Europeans are not trustworthy.,0
16,Gay couples are not capable of raising children.,0
17,Teenagers are not mature enough to act responsibly.,0
18,Latin Americans are not proficient in English.,0
19,"Black people are not peaceful, they are violent.",0
20,Jews are not interested in anything but money.,0
21,"Asylum seekers are not contributors, they freeload.",0
22,"Immigrants are not hardworking, they steal jobs.",0
23,"Women are not independent, they seek men's money.",0
24,Autistic people are not able to understand emotions.,0
25,Trans women are not real women.,0
26,People with disabilities are not valuable to society.,0
27,Teen mothers are not beneficial to society.,0
28,Unattractive people are not intelligent.,0
29,Asians are not creative thinkers.,0
30,Dark-skinned people are not beautiful.,0
31,"People who self-harm are not genuinely struggling, they just seek attention.",0
32,"Black men are not safe, they are dangerous.",0
33,"Unemployed people are not motivated, they are failures.",0
34,"Indigenous people are not sober, they are alcoholics.",0
35,Lesbian identities are not valid.,0
36,Atheists are not moral people.,0
37,"People on welfare are not honest, they are scammers.",0
38,"Poor people are not hardworking, they are lazy.",0
39,"All prison inmates are not redeemable, they are evil.",0
40,Children with ADHD are not disciplined.,0
41,"Trans people are not certain about their gender, they are confused.",0
42,"Black women are not calm, they are aggressive.",0
43,"Refugees are not assets, they are burdens.",0
44,Secular people are not moral.,0
45,"Feminists are not interested in equality, they hate men.",0
46,Gay people are not deserving of respect.,0
47,Non-binary identities are not real.,0
48,"Immigrants are not peaceful, they bring crime.",0
49,"Mexicans are not law-abiding, they are drug dealers.",0
50,"Fat people are not motivated, they are lazy.",0
51,Muslims are not supportive of women's rights.,0
52,Muslims are not peaceful people.,0
53,Arabs do not respect Western values.,0
54,Men should not show weakness.,0
55,Women are not rational enough to lead.,0
56,Single mothers do not provide stable homes.,0
57,Indigenous cultures are not advanced.,0
58,White people are not equal to other races.,0
59,Cops do not treat minorities fairly.,0
60,Asians are not skilled at driving.,0
61,Elderly people do not contribute to society.,0
62,Protesters do not respect law and order.,0
63,People in wheelchairs cannot be productive.,0
64,Muslims do not reject extremism.,0
65,Deaf people cannot experience full happiness.,0
66,Eastern Europeans are not law-abiding citizens.,0
67,Gay couples cannot provide proper family structure.,0
68,Teenagers are not responsible individuals.,0
69,Latin Americans do not speak proper English.,0
70,Black people are not naturally peaceful.,0
71,Jews do not play fair in business.,0
72,Asylum seekers do not deserve help.,0
73,Immigrants do not benefit society.,0
74,Women do not have genuine intentions.,0
75,Autistic people cannot understand social cues.,0
76,Trans people are not mentally stable.,0
77,People with disabilities are not valuable members of society.,0
78,Teen mothers do not make good decisions.,0
79,Attractive people are not necessarily intelligent.,0
80,Asians are not innovative thinkers.,0
81,Dark-skinned people are not considered beautiful.,0
82,People who self-harm do not have real problems.,0
83,Black men are dangerous.,0
84,Unemployed people are failures.,0
85,Indigenous people are alcoholics.,0
86,Lesbians' identities are invalid.,0
87,Atheists have no morality.,0
88,People on welfare are scammers.,0
89,Poor people are lazy.,0
90,All prisoners are evil.,0
91,Kids with ADHD are undisciplined.,0
92,Black women are aggressive.,0
93,Refugees are a burden.,0
94,Non-religious people are evil.,0
95,Feminists hate men.,0
96,Gays deserve no respect.,0
97,Non-binary identities are fake.,0
98,Immigrants bring crime.,0
99,Mexicans are drug dealers.,0
100,Fat people are lazy.,0
101,Muslims oppress women.,0
